PosX,PosY,SurfaceValue
4.69697,-0.151515,0.107105
-4.39394,-0.454545,1.5202
2.57576,-4.69697,3.08531
-3.48485,-0.454545,1.61003
4.39394,-4.69697,3.34099
-3.18182,-0.454545,0.40078
-2.87879,-0.454545,0.798105
-2.27273,-0.454545,1.06414
-1.9697,-0.454545,1.91407
2.27273,-4.69697,3.34789
0.151515,-0.454545,0.61499
-3.18182,-4.09091,0
-3.18182,-0.757576,0.438785
0.757576,-0.454545,1.69641
1.66667,-0.454545,1.12978
1.06061,-1.06061,2.05918
0.151515,-3.48485,2.36667
1.9697,-0.454545,1.71022
5,-2.27273,0.24185
3.78788,-0.454545,0
4.09091,-0.454545,0
4.39394,-0.454545,0.044915
3.78788,-2.27273,0.632265
5,-0.454545,1.25071
-5,-0.757576,1.49947
-1.66667,-3.48485,1.09178
-5,-4.09091,3.38245
-3.78788,-2.57576,2.05573
-4.69697,-0.757576,1.45456
-0.454545,-1.66667,0.17275
-4.69697,-4.09091,0
-4.39394,-0.757576,1.51329
-4.39394,-4.09091,2.92638
-4.09091,-0.757576,2.37013
-4.09091,-4.09091,3.01276
-3.78788,-4.09091,0
-3.78788,-0.757576,1.57548
-3.48485,-4.09091,0
-3.48485,-0.757576,0.97431
1.9697,-2.57576,1.05723
-2.57576,-4.09091,3.37208
-2.57576,-0.757576,1.53402
1.06061,-1.66667,0.991585
-2.27273,-4.09091,0
-2.27273,-0.757576,0.89139
-1.36364,-4.09091,3.43427
-1.36364,-0.757576,1.19197
3.48485,-2.27273,0.051825
-0.454545,-4.09091,3.53447
-0.454545,-0.757576,0.39387
-0.151515,-4.09091,1.1436
-0.151515,-0.757576,0.44224
0.454545,-4.09091,0
0.454545,-0.757576,0.169295
1.06061,-4.09091,0
1.06061,-0.757576,0.998495
1.36364,-4.09091,0
1.36364,-0.757576,0.84302
2.27273,-4.09091,0.05528
2.27273,-0.757576,0.40769
